basic_date,close_value
04/10/2008,478000
04/11/2008,487000
04/14/2008,481000
04/15/2008,471000
04/16/2008,470000
04/17/2008,469000
04/18/2008,469500
04/21/2008,478000
04/22/2008,487000
04/23/2008,478000
04/24/2008,492000
04/25/2008,509000
04/28/2008,520000
04/29/2008,516000
04/30/2008,516000
05/02/2008,528000
05/06/2008,534000
05/07/2008,531000
05/08/2008,520000
05/09/2008,510000
05/13/2008,522000
05/14/2008,519000
05/15/2008,527000
05/16/2008,522000
05/19/2008,510000
05/20/2008,502000
05/21/2008,510000
05/22/2008,511000
05/23/2008,501000
05/26/2008,484000
05/27/2008,494000
05/28/2008,488000
05/29/2008,515000
05/30/2008,526000
06/02/2008,517000
06/03/2008,502000
06/04/2008,504000
06/05/2008,508000
06/09/2008,485000
06/10/2008,463000
06/11/2008,476000
06/12/2008,466000
06/13/2008,471500
06/16/2008,477000
06/17/2008,475000
06/18/2008,479500
06/19/2008,464000
06/20/2008,466000
06/23/2008,456000
06/24/2008,456000
06/25/2008,454000
06/26/2008,465000
06/27/2008,455000
06/30/2008,451000
07/01/2008,456000
07/02/2008,442000
07/03/2008,442000
07/04/2008,424000
07/07/2008,425000
07/08/2008,418000
07/09/2008,407500
07/10/2008,389000
07/11/2008,389000
07/14/2008,385000
07/15/2008,379000
07/16/2008,379000
07/17/2008,393500
07/18/2008,392000
07/21/2008,404000
07/22/2008,400000
07/23/2008,400000
07/24/2008,412000
07/25/2008,384000
07/28/2008,371500
07/29/2008,361000
07/30/2008,365000
07/31/2008,374000
08/01/2008,374000
08/04/2008,381000
08/05/2008,386000
08/06/2008,399000
08/07/2008,392000
08/08/2008,398000
08/11/2008,402000
08/12/2008,411500
08/13/2008,407000
08/14/2008,405000
08/18/2008,406000
08/19/2008,396000
08/20/2008,389500
08/21/2008,380000
08/22/2008,388500
08/25/2008,391000
08/26/2008,380000
08/27/2008,375000
08/28/2008,375000
08/29/2008,365000
09/01/2008,360000
09/02/2008,364000
09/03/2008,370000
09/04/2008,360000
09/05/2008,365500
09/08/2008,385500
09/09/2008,375500
09/10/2008,373000
09/11/2008,382500
09/12/2008,384000
09/16/2008,366000
09/17/2008,373000
09/18/2008,366000
09/19/2008,390000
09/22/2008,385500
09/23/2008,392500
09/24/2008,385000
09/25/2008,384000
09/26/2008,378000
09/29/2008,376500
09/30/2008,371500
10/01/2008,367500
10/02/2008,356000
10/06/2008,330500
10/07/2008,347000
10/08/2008,335000
10/09/2008,331000
10/10/2008,326000
10/13/2008,328000
10/14/2008,345000
